"Assembly"	"X..contigs.....0.bp."	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....0.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"N50"	"N75"	"L50"	"L75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NA75"	"LA50"	"LA75"
"hungry_colden"	42038	36863	27187	22613	16756	12269	2803076454	2800407628	2777743500	2745302725	2648924684	2486637124	39171	3356938	2802097908	2798927521	249005	107611	2899	7155	0	0	0	0	"2 + 0 part"	2195	98.901	1.012	1.01	0	0.01	2351552	2646144	2337601	362257	40414	3356938	249005	107611	2899	7155
"fervent_mayer_0"	1430157	322649	77589	36759	10256	2685	2091590438	1676168363	1158009285	873609366	469721032	212476049	574094	424109	1852281271	2798927521	8837	2637	42353	141904	1555	1500	15802361	1270	"34 + 1172 part"	115902	65.725	1.007	0	9.84	0.17	2105340	2108293	1724572	187725	18803	423891	8792	2625	42554	142551
"angry_newton_0"	650443	142724	17993	6755	2010	806	751746440	517553473	276450958	199841779	128933580	87557803	319523	1071070	640156411	2798927521	3591	1244	28360	109063	872	795	16690810	331	"20 + 333 part"	72891	22.704	1.008	5.52	36.19	0.75	825929	827662	649647	49985	3998	1071070	3566	1238	28699	109906
"backstabbing_carson_0 broken"	510630	101923	8989	3541	873	271	492177498	287369482	121241198	84202538	44516207	23969714	273308	431154	405798637	2798927521	1871	901	37869	119834	365	337	4032561	165	"8 + 152 part"	21196	13.903	1.043	0.02	25.09	0.35	574673	577806	438571	24235	1611	431154	1866	900	38050	120172
"berserk_wozniak_0"	878467	352506	79617	37513	11342	3307	2075841489	1799818530	1223297254	931236508	530859386	255205293	587607	416381	1965527674	2798927521	8854	2652	42998	149435	8831	8572	66066894	1923	"365 + 15995 part"	2278284	69.337	1.012	0	70.46	1.59	2240863	2242834	1829223	198027	19761	416381	8669	2596	43905	152641
"stupefied_mclean_0"	795678	326996	70947	33219	11431	4536	2061075745	1812477435	1272191622	1011159792	679533551	442246665	542635	826602	1964675490	2798927521	10788	2899	30444	124374	7029	6755	78917584	1893	"281 + 12397 part"	1928937	69.43	1.011	0	63.68	1.51	2203585	2205688	1810295	203246	20722	826602	10549	2841	31226	127167
"insane_brattain_0"	745535	315940	70879	33204	11453	4572	2032694693	1804902145	1282687009	1021926664	690880825	453262423	513099	569098	1944201212	2798927521	11444	3098	28537	115796	7538	7228	86838837	2090	"5188 + 13271 part"	40876445	67.304	1.011	0	71.86	1.86	2165055	2167124	1782274	203676	20851	569098	10382	2745	31073	128437
"clever_hypatia_1"	38035547	327734	23001	4545	163	3	3341833856	755728097	187771303	64258111	4893788	176572	785677	63910	1072704958	2798927521	1674	897	155645	379319	308	305	704042	159	"4 + 91 part"	7635	38.181	1.004	0	5.47	0.04	1584184	1584184	1154535	62107	5057	63910	1674	896	155703	379463
"sick_colden_0"	17755147	213537	18099	5772	877	92	2266052571	544101310	186160991	102489533	30861485	5437112	574665	65535	790491688	2798927521	1703	858	96993	266309	194	194	651035	58	"16 + 139 part"	21150	28.118	1.004	0	0.63	0.02	1166794	1166794	853344	46112	4129	65535	1702	858	97041	266410
"jolly_mcclintock_0"	6231986	287501	20625	6244	1045	154	1996610487	685834327	211686973	114003125	38601142	8977866	842405	65351	1064353860	2798927521	1444	796	157988	414091	381	381	871204	161	"47 + 253 part"	56382	37.583	1.012	0	21.87	0.12	1590223	1590601	1189980	53871	3550	65351	1444	796	158062	414276
"suspicious_mcclintock_0"	2815875	208167	10755	3363	634	127	1218280789	446702864	114710192	64863930	24748488	7756880	653803	65535	752687256	2798927521	1214	754	144013	344699	381	380	780486	158	"66 + 386 part"	92434	26.645	1.009	0	19.21	0.24	1171873	1172079	865496	31234	1769	65535	1213	754	144109	344933
"dreamy_yonath_0"	4744195	6796	0	0	0	0	646743474	8678096	0	0	0	0	63536	3629	45547808	2798927521	694	577	24144	42258	41	41	29753	20	"38 + 1341 part"	61226	1.62	1.004	0	500.18	0.59	88325	88325	59873	164	1	3629	693	576	24172	42317
"goofy_tesla_0 broken"	1531796	472234	53991	24154	6936	2325	2040145344	1614570245	846980464	640992454	380720114	223831366	748849	839538	1808866299	2798927521	4190	1531	66572	261304	2258	2217	9615317	956	"614 + 2673 part"	989669	63.951	1.01	0.02	34.59	0.46	2213875	2213989	1767030	154734	13746	839538	4176	1526	66835	262201
