Gold Standard	>50% complete	>70% complete	>90% complete
<10% contamination	753	753	753
<5% contamination	753	753	753
CONCOCT	>50% complete	>70% complete	>90% complete
<10% contamination	248	245	235
<5% contamination	241	239	231
MetaWatt-3.5	>50% complete	>70% complete	>90% complete
<10% contamination	384	369	312
<5% contamination	363	348	300
MetaBAT	>50% complete	>70% complete	>90% complete
<10% contamination	210	194	167
<5% contamination	199	184	159
MyCC	>50% complete	>70% complete	>90% complete
<10% contamination	207	200	164
<5% contamination	180	174	142
MaxBin 2.0	>50% complete	>70% complete	>90% complete
<10% contamination	356	351	312
<5% contamination	322	318	285
